Theta1,Theta2
41.8623034526593,139.182168866149
41.8623034526593,139.182168866149
38.1789226610123,139.29711314927
28.1837882392954,139.609023219339
18.1886538175785,139.920933289407
8.19351939586159,140.232843359475
-1.80161502585532,140.544753429543
-11.5813061364814,138.457256895237
-21.176468066441,135.640722226915
-29.9571379194384,130.855344819368
-24.0864292291064,122.759989393369
-32.0018097618341,116.648790572997
-41.4765058204428,113.450332413667
-43.9418715312803,103.758997525643
-34.1925328520922,101.534049140065
-24.7329357228026,98.2912074616082
-20.0717698355181,89.4439744155527
-16.5251663763457,80.0940223352805
-7.0580789458478,76.8731132115533
